Local time,Ask,Bid,AskVolume,BidVolume
27.07.2020 05:02:04.622 GMT+0700,1901.062,1899.858,370,370
27.07.2020 05:02:04.973 GMT+0700,1900.952,1899.848,370,370
27.07.2020 05:02:05.074 GMT+0700,1901.052,1899.838,370,370
27.07.2020 05:02:05.283 GMT+0700,1900.972,1899.818,370,370
27.07.2020 05:02:05.384 GMT+0700,1900.922,1899.778,370,370
27.07.2020 05:02:05.801 GMT+0700,1900.962,1899.838,370,370
27.07.2020 05:02:07.192 GMT+0700,1900.812,1899.878,370,370
27.07.2020 05:02:07.242 GMT+0700,1900.872,1899.888,370,370
27.07.2020 05:02:07.293 GMT+0700,1900.982,1899.888,370,370
27.07.2020 05:02:07.343 GMT+0700,1900.872,1899.828,370,370
27.07.2020 05:02:07.444 GMT+0700,1900.902,1899.828,370,370
27.07.2020 05:02:07.645 GMT+0700,1900.942,1899.878,370,370
27.07.2020 05:02:08.735 GMT+0700,1901.082,1900.008,370,370
27.07.2020 05:02:08.786 GMT+0700,1901.242,1900.118,370,370
27.07.2020 05:02:08.886 GMT+0700,1901.162,1900.128,370,370
27.07.2020 05:02:08.937 GMT+0700,1901.192,1900.128,370,370
27.07.2020 05:02:09.037 GMT+0700,1901.272,1900.198,370,370
27.07.2020 05:02:10.292 GMT+0700,1901.262,1900.218,370,370
27.07.2020 05:02:10.392 GMT+0700,1901.292,1900.198,370,370
27.07.2020 05:02:10.443 GMT+0700,1900.952,1900.198,370,370
27.07.2020 05:02:10.493 GMT+0700,1901.232,1900.198,370,370
27.07.2020 05:02:10.806 GMT+0700,1901.282,1900.228,370,370
27.07.2020 05:02:12.767 GMT+0700,1901.292,1900.228,370,370
27.07.2020 05:02:13.129 GMT+0700,1901.242,1900.228,370,370
27.07.2020 05:02:13.883 GMT+0700,1901.362,1900.318,370,370
27.07.2020 05:02:14.318 GMT+0700,1901.242,1900.318,370,370
27.07.2020 05:02:14.419 GMT+0700,1901.302,1900.288,370,370
27.07.2020 05:02:16.182 GMT+0700,1901.302,1900.348,370,370
27.07.2020 05:02:17.598 GMT+0700,1901.342,1900.348,370,370
27.07.2020 05:02:17.699 GMT+0700,1901.342,1900.328,370,370
27.07.2020 05:02:21.669 GMT+0700,1901.202,1900.328,370,370
27.07.2020 05:02:21.770 GMT+0700,1901.322,1900.328,370,370
27.07.2020 05:02:22.589 GMT+0700,1901.362,1900.328,370,370
27.07.2020 05:02:25.378 GMT+0700,1901.342,1900.308,370,370
27.07.2020 05:02:27.170 GMT+0700,1901.212,1900.308,370,370
27.07.2020 05:02:27.221 GMT+0700,1901.342,1900.308,370,370
27.07.2020 05:02:27.509 GMT+0700,1901.202,1900.218,370,370
27.07.2020 05:02:27.743 GMT+0700,1901.162,1900.218,370,370
27.07.2020 05:02:27.794 GMT+0700,1901.202,1900.218,370,370
27.07.2020 05:02:27.912 GMT+0700,1901.272,1900.258,370,370
27.07.2020 05:02:30.471 GMT+0700,1901.312,1900.298,370,370
27.07.2020 05:02:32.135 GMT+0700,1901.382,1900.338,370,370
27.07.2020 05:02:32.422 GMT+0700,1901.422,1900.408,370,370
